Titlu;Localitate;Suprafata teren;Suprafata utila;Stare;Numar camere;Numar bai;Mobilat;Tip tranzactie;Pret
Casa 277 mp utili$ 1140 mp teren$ Tutora;Iasi / Iasi;1140 m²;271 m²;Nouă;5;1;Nemobilat;Vânzare;95.000 €
Casă de vânzare cu teren de 3000mp$ sat Păgaia$ Bihor;Bihor / Pagaia;3000 m²;60 m²;De renovat;2;1;;Vânzare;25.000 €
Case de vânzare$ 4 dormitoare$ 120 mp$ zona centura;Bistrita-Nasaud / Bistrita;300 m²;120 m²;Bună;5;2;Nemobilat;Vânzare;168.000 €
Proprietate de excepție cu casă spațioasă$ piscină și;Satu-Mare / Satu Mare;2000 m²;300 m²;Bună;5+;2;Complet;Vânzare;299.000 €
Constructie noua$solida$maximizare confort$oportunitate pers;Brasov / Brasov;500 m²;195 m²;Bună;4;3;Nemobilat;Vânzare;114.800 €
Vila P+1E+M - zona General - Micro 14;Galati / Galati;290 m²;188 m²;Renovată;4;3;;Vânzare;234.000 €
Gulia$ casă 4 camere parter$ 107 mp utili$ curte 500$ î...;Dambovita / Gulia;500 m²;107 m²;Nouă;4;2;Nemobilat;Vânzare;145.000 €
VILA INDIVIDUALA TUNARI TVA 0;Bucuresti-Ilfov / Tunari;350 m²;155 m²;Nouă;4;3;;Vânzare;265.000 €
???? Casă cochetă P+1 în Bucurestii Noi$ Constructie noua;Bucuresti-Ilfov / Bucuresti;82 m²;115 m²;Nouă;3;2;;Vânzare;298.000 €
Casa Indviduala$ P+1$ Constructie 2025$ Sector 1$ Soseaua...;Bucuresti-Ilfov / Bucuresti;126 m²;80 m²;Nouă;3;2;Nemobilat;Vânzare;209.000 €
Casa 2 camere. Zona Alfa$ Arad;Arad / Arad;231 m²;70 m²;Bună;2;0;;Vânzare;69.700 €
Vanzare - Imobil rar - teren 220mp - Floreasca/Barbu Vaca...;Bucuresti-Ilfov / Bucuresti;220 m²;270 m²;Bună;5+;3+;Nemobilat;Vânzare;975.000 €
Vânzare vila noua 2024 | 102 mp 5 cam 3 bai | curte prop...;Bucuresti-Ilfov / Bucuresti;117 m²;102 m²;Nouă;5;3;;Vânzare;245.000 €
Vanzare - Imobil rar - renovat - Curte individuala - Flor...;Bucuresti-Ilfov / Bucuresti;200 m²;180 m²;Nouă;5+;3+;Nemobilat;Vânzare;725.000 €
